iter	Passed	Remaining
174	3267	15405
175	3273	15328
176	3285	15276
177	3297	15228
178	3307	15170
179	3321	15131
180	3333	15085
181	3341	15016
182	3349	14952
183	3360	14902
184	3370	14848
185	3377	14783
186	3384	14713
187	3394	14661
188	3402	14599
189	3410	14538
190	3416	14472
191	3428	14426
192	3433	14356
193	3441	14297
194	3449	14241
195	3459	14191
196	3466	14128
197	3474	14072
198	3480	14009
199	3487	13950
200	3492	13884
201	3500	13828
202	3506	13765
203	3511	13701
204	3518	13645
205	3524	13584
206	3531	13527
207	3537	13469
208	3550	13438
209	3556	13379
210	3563	13326
211	3571	13274
212	3585	13248
213	3592	13196
214	3598	13137
215	3603	13080
216	3609	13023
217	3614	12965
218	3620	12912
219	3628	12864
220	3638	12826
221	3646	12779
222	3654	12734
223	3660	12680
224	3668	12635
225	3675	12588
226	3685	12550
227	3692	12502
228	3699	12455
229	3705	12404
230	3714	12366
231	3720	12316
232	3728	12273
233	3736	12231
234	3743	12186
235	3750	12140
236	3758	12098
237	3764	12053
238	3770	12005
239	3783	11981
240	3806	11987
241	3832	12003
242	3871	12059
243	3909	12113
244	3923	12089
245	3936	12064
246	3946	12030
247	3962	12015
248	3995	12050
249	4018	12054
250	4067	12136
251	4080	12113
252	4086	12064
253	4094	12025
254	4102	11986
255	4109	11943
256	4118	11905
257	4126	11868
258	4135	11832
259	4141	11787
260	4151	11753
261	4158	11713
262	4164	11669
263	4170	11626
264	4176	11582
265	4185	11549
266	4191	11506
267	4197	11466
268	4203	11423
269	4211	11386
270	4218	11348
271	4223	11304
272	4231	11268
273	4237	11228
274	4244	11190
275	4249	11148
276	4255	11106
277	4261	11068
278	4308	11134
279	4320	11110
280	4331	11081
281	4339	11049
282	4346	11012
283	4356	10983
284	4367	10958
285	4378	10929
286	4388	10901
287	4410	10904
288	4424	10885
289	4443	10877
290	4456	10858
291	4462	10819
292	4505	10871
293	4517	10848
294	4523	10810
295	4532	10780
296	4539	10745
297	4556	10733
298	4567	10709
299	4585	10700
300	4593	10668
301	4603	10638
302	4621	10630
303	4648	10643
304	4662	10623
305	4688	10633
306	4694	10598
307	4700	10561
308	4707	10526
309	4721	10509
310	4729	10478
311	4735	10442
312	4740	10405
313	4746	10368
314	4754	10339
315	4767	10320
316	4773	10285
317	4783	10257
318	4792	10231
319	4800	10201
320	4807	10168
321	4814	10136
322	4819	10101
323	4826	10070
324	4833	10038
325	4841	10009
326	4848	9978
327	4856	9950
328	4862	9916
329	4869	9887
330	4876	9855
331	4882	9823
332	4891	9797
333	4897	9766
334	4906	9739
335	4913	9710
336	4920	9679
337	4924	9644
338	4930	9613
339	4936	9582
340	4943	9553
341	4950	9524
342	4956	9493
343	4961	9461
344	4967	9430
345	4972	9398
346	4978	9368
347	4983	9337
348	4992	9313
349	5000	9287
350	5008	9260
351	5016	9234
352	5025	9210
353	5031	9181
354	5042	9161
355	5050	9136
356	5057	9109
357	5077	9106
358	5092	9092
359	5103	9073
360	5119	9062
361	5128	9039
362	5136	9013
363	5146	8992
364	5164	8984
365	5174	8962
366	5184	8941
367	5192	8917
368	5202	8896
369	5216	8882
370	5228	8865
371	5246	8857
372	5253	8831
373	5259	8803
374	5269	8781
375	5278	8759
376	5290	8743
377	5295	8714
378	5302	8688
379	5307	8659
380	5312	8630
381	5318	8604
382	5323	8576
383	5330	8550
384	5335	8523
385	5341	8497
386	5349	8473
387	5356	8448
388	5364	8425
389	5372	8402
390	5380	8381
391	5387	8356
392	5394	8331
393	5400	8306
394	5406	8280
395	5412	8255
396	5417	8229
397	5423	8203
